license_number,license_type,Dba,Premise_address,City,licensee,gov,Community Council
10004,Standard Marijuana Cultivation Facility,TALKEETNA HERB COMPANY,32500 South Talkeetna Spur Road,Talkeetna,KRYSTAL L DIETRICH,Matanuska-Susitna Borough,Talkeetna
10005,Standard Marijuana Cultivation Facility,ROSIE CREEK FARM,2659 Livingston Loop,Fairbanks,"RCFC, LLC",Fairbanks North Star Borough,
10008,Retail Marijuana Store,GREEN JAR,"4901 E Blue Lupine dr, Bldg 2, Unit E",Wasilla,CALEB L SAUNDERS; CHRISTOPHER T FARRIS; BAILEY A STUART,Matanuska-Susitna Borough,Gateway
10009,Marijuana Testing Facility,"CANNTEST, LLC","620 E Whitney Road, Suite B",Anchorage,"CannTest, LLC",Anchorage (Municipality of),Downtown
10011,Limited Marijuana Cultivation Facility,GREEN RUSH GARDENS LLC,38827 Twin Rd.,Sterling,Green Rush Gardens LLC,Kenai Peninsula Borough,
10015,Standard Marijuana Cultivation Facility,"GREATLAND GANJA, LLC",56475 Sterling Highway,Kasilof,"Greatland Ganja, LLC",Kenai Peninsula Borough,
10021,Retail Marijuana Store,"ENLIGHTEN ALASKA, LLC",2600 Spenard Road,Anchorage,"Enlighten Alaska, LLC",Anchorage (Municipality of),Spenard
10022,Standard Marijuana Cultivation Facility,SUNRISE GARDENS,440 Skyridge Drive,Fairbanks,Purple Quail LLC,Fairbanks North Star Borough,
10024,Limited Marijuana Cultivation Facility,ART'S ALASKAN PLANTATION,9444 Blackie Loop,Willow,ARTHUR A CHURCH,Matanuska-Susitna Borough,Willow Area
10025,Standard Marijuana Cultivation Facility,"BUDDING ALASKA, LLC",32273 Old Nash Rd.,Seward,"Budding Alaska, LLC",Kenai Peninsula Borough,
10026,Standard Marijuana Cultivation Facility,"RAINFOREST FARMS, LLC",5763 Glacier Highway,Juneau,"Rainforest Farms, LLC",Juneau (City and Borough of),
10027,Standard Marijuana Cultivation Facility,BLACK RAPIDS LLC,721 Cloud Road,North Pole,Black Rapids LLC,Fairbanks North Star Borough,
